temperature,humidity,light_lux,soil_moisture,flower_stage
28.22,64.87,8795.0,36.09,closed
26.7,83.82,13851.0,47.75,ready
24.36,81.81,12415.0,45.26,ready
27.04,71.06,8487.0,33.06,closed
27.87,72.63,10754.0,41.35,open
30.7,76.21,12267.0,43.95,ready
27.97,82.69,10017.0,53.26,open
24.74,84.49,9434.0,31.91,closed
26.49,76.64,14800.0,48.75,ready
26.99,72.18,8025.0,52.17,closed
29.43,82.06,13934.0,50.52,ready
28.86,69.08,8037.0,46.14,closed
24.84,79.58,10100.0,34.29,open
24.91,63.37,14672.0,46.09,open
30.17,61.35,13795.0,44.82,open
30.93,68.08,13403.0,40.44,open
31.0,71.04,11066.0,38.44,open
30.24,76.33,9096.0,53.07,closed
30.22,73.44,14673.0,46.31,ready
31.94,62.56,11372.0,38.71,open
26.73,62.13,10739.0,49.97,open
24.14,75.09,9214.0,33.93,closed
31.41,87.52,13008.0,32.19,ready
30.48,83.03,11809.0,39.36,open
30.52,84.29,9067.0,37.16,closed
25.72,86.87,9756.0,44.87,closed
29.57,67.07,14616.0,43.7,open
28.25,62.17,12141.0,37.05,open
26.57,73.55,14533.0,32.87,ready
26.55,80.63,13556.0,48.7,ready
29.94,78.58,10179.0,42.52,open
30.55,77.57,13686.0,33.89,ready
25.78,75.75,9893.0,35.7,closed
25.08,75.17,13895.0,44.9,ready
25.86,87.6,13074.0,46.54,ready
26.34,72.15,8295.0,43.75,closed
28.78,84.76,14998.0,49.3,ready
30.15,71.81,8625.0,39.03,closed
28.54,79.74,8410.0,38.56,closed
24.36,66.75,8070.0,51.34,closed
25.85,66.43,14657.0,32.1,open
24.31,65.45,12012.0,39.92,open
25.33,84.1,14471.0,30.33,ready
30.01,73.13,12895.0,40.14,ready
27.04,88.42,12757.0,49.76,ready
29.05,85.69,10547.0,54.93,open
24.15,65.64,13560.0,38.92,open
26.29,74.94,12075.0,41.9,ready
25.69,79.62,14390.0,54.41,ready
24.96,67.01,13098.0,40.45,open
30.42,70.09,13265.0,45.44,ready
31.22,67.9,13699.0,49.61,open
31.57,78.29,13719.0,45.19,ready
31.9,77.89,9241.0,44.06,closed
27.78,61.15,9864.0,42.27,closed
27.82,70.27,8849.0,32.65,closed
26.98,73.25,9204.0,31.56,closed
28.99,87.41,14931.0,45.45,ready
25.89,62.64,8077.0,36.28,closed
31.47,87.61,11245.0,53.7,open
28.88,64.73,13987.0,49.65,open
25.18,84.13,8369.0,42.46,closed
24.09,82.72,8246.0,34.57,closed
26.87,80.31,10549.0,42.66,open
26.84,80.86,12688.0,34.66,ready
29.99,70.48,13009.0,54.91,ready
24.29,81.29,8757.0,48.55,closed
30.35,68.68,8963.0,40.9,closed
28.8,77.17,14008.0,48.86,ready
27.43,80.32,8702.0,38.96,closed
25.79,85.35,13589.0,48.52,ready
25.3,79.11,14483.0,46.03,ready
27.16,75.37,11999.0,43.05,open
30.13,61.84,10983.0,49.48,open
29.57,78.4,13581.0,38.81,ready
28.43,67.54,14652.0,44.13,open
27.94,87.37,11032.0,40.51,open
25.85,60.63,12527.0,53.65,open
26.04,79.7,12635.0,44.73,ready
25.11,75.96,9426.0,36.38,closed
29.53,88.31,13455.0,32.16,ready
27.13,78.41,8256.0,49.15,closed
28.52,60.6,13698.0,30.6,open
27.1,62.61,14887.0,33.54,open
28.41,86.11,13326.0,38.49,ready
28.23,88.51,8934.0,43.14,closed
25.31,72.03,12628.0,42.44,ready
27.91,66.76,10974.0,31.62,open
24.16,77.18,12003.0,41.51,ready
28.92,83.23,9676.0,48.78,closed
30.47,79.86,10026.0,39.84,open
30.6,64.2,12876.0,46.68,open
27.84,62.92,9431.0,44.51,closed
25.45,65.89,11522.0,51.68,open
28.33,67.34,8514.0,43.43,closed
29.74,83.72,12751.0,39.11,ready
29.81,82.16,13022.0,50.45,ready
25.91,77.22,9325.0,33.58,closed
26.28,82.43,8694.0,31.38,closed
31.12,87.45,10253.0,47.18,open
31.21,62.24,10041.0,50.72,open
25.31,83.74,14735.0,49.34,ready
30.45,80.31,12051.0,52.37,ready
29.62,76.88,9717.0,49.79,closed
26.3,77.34,13272.0,44.21,ready
27.35,82.75,12678.0,32.01,ready
25.94,69.03,10919.0,47.01,open
25.1,68.59,12218.0,40.17,open
26.32,82.45,13859.0,38.26,ready
29.45,86.65,11545.0,39.57,open
26.19,84.33,10370.0,52.21,open
24.98,82.87,14454.0,43.37,ready
31.23,76.63,9367.0,52.03,closed
30.38,75.37,11285.0,49.63,open
25.39,84.5,8454.0,47.86,closed
25.88,66.33,11580.0,33.72,open
25.2,79.32,12942.0,45.23,ready
29.9,63.32,10545.0,47.5,open
28.31,81.18,11457.0,32.62,open
28.14,70.38,12187.0,44.29,ready
31.74,80.4,11834.0,42.97,open
28.29,77.67,12209.0,49.56,ready
28.3,65.22,12882.0,32.09,open
29.85,78.79,12256.0,47.47,ready
25.48,85.28,14144.0,43.35,ready
27.45,70.95,9784.0,38.91,closed
29.78,75.38,10312.0,39.71,open
26.89,86.55,9430.0,32.84,closed
24.28,74.94,12814.0,43.21,ready
24.83,69.62,14468.0,42.31,open
25.25,63.44,8110.0,45.46,closed
31.95,65.99,10250.0,34.55,open
28.36,62.33,14569.0,40.79,open
27.67,61.04,9005.0,48.55,closed
31.17,70.8,14018.0,32.86,ready
31.53,75.38,11269.0,41.11,open
24.21,79.86,11250.0,47.08,open
26.97,86.07,9895.0,47.88,closed
29.43,84.85,12983.0,51.17,ready
31.44,80.9,10654.0,46.3,open
29.67,77.39,8156.0,54.4,closed
27.28,65.84,12850.0,37.32,open
27.66,82.45,14350.0,50.96,ready
25.05,63.5,10685.0,48.2,open
29.86,72.34,13621.0,44.29,ready
26.7,76.24,11423.0,44.0,open
26.29,63.28,13631.0,53.24,open
27.19,88.82,14336.0,48.0,ready
28.34,72.16,11517.0,47.07,open
27.58,61.71,14716.0,30.65,open
29.9,69.11,8040.0,31.06,closed
25.48,85.84,11307.0,32.56,open
27.16,85.1,9524.0,40.55,closed
24.97,75.61,12597.0,43.19,ready
26.15,70.22,14414.0,41.12,ready
26.65,80.7,9228.0,53.22,closed
26.94,84.06,11345.0,31.56,open
25.8,64.92,12079.0,30.58,open
30.83,88.34,11799.0,35.9,open
26.52,80.28,10430.0,54.97,open
25.87,72.07,14114.0,36.24,ready
27.32,79.17,12078.0,49.94,ready
25.26,88.77,14856.0,45.82,ready
28.73,63.61,14228.0,47.82,open
28.76,81.97,12825.0,49.25,ready
24.75,60.63,11815.0,36.37,open
28.99,65.09,14818.0,54.95,open
26.2,81.26,12279.0,50.72,ready
27.55,78.23,9584.0,53.67,closed
31.75,71.93,12107.0,46.68,ready
30.99,80.41,9558.0,42.29,closed
27.95,69.1,10459.0,49.43,open
26.52,68.13,9193.0,31.72,closed
30.99,72.64,10727.0,51.79,open
29.21,80.78,13309.0,43.23,ready
26.65,85.12,12591.0,39.59,ready
27.39,65.44,11063.0,41.34,open
29.99,77.43,9078.0,37.36,closed
29.2,61.0,12197.0,40.5,open
29.26,77.39,8033.0,37.93,closed
26.62,81.42,12921.0,50.39,ready
30.43,75.33,9359.0,46.39,closed
28.46,64.58,14736.0,37.87,open
26.01,63.78,11285.0,54.54,open
24.48,66.77,12801.0,34.44,open
29.83,79.83,10207.0,36.89,open
31.5,69.1,8911.0,45.83,closed
28.98,72.85,8318.0,45.64,closed
31.08,63.03,9490.0,48.93,closed
28.06,80.5,14686.0,43.26,ready
25.48,75.58,14896.0,42.39,ready
31.64,73.49,11717.0,36.29,open
28.05,88.96,13735.0,35.0,ready
26.35,85.22,10298.0,32.52,open
28.76,73.11,9730.0,47.75,closed
25.32,76.88,10194.0,45.34,open
28.67,80.79,8346.0,48.06,closed
26.74,86.74,11062.0,54.56,open
25.59,72.25,12073.0,36.2,ready
28.56,69.61,10797.0,49.62,open
28.54,72.09,14443.0,39.15,ready
24.5,65.89,10278.0,34.08,open
30.04,72.32,8701.0,54.41,closed
25.62,61.57,13294.0,54.16,open
30.42,63.78,11453.0,44.95,open
31.87,65.8,14206.0,45.0,open
28.65,78.82,10805.0,33.8,open
24.61,75.12,13024.0,47.71,ready
28.7,63.79,11171.0,47.14,open
27.19,87.21,12296.0,50.67,ready
30.72,89.28,8744.0,38.82,closed
25.92,85.62,10175.0,30.54,open
31.98,67.27,10085.0,51.44,open
26.81,72.28,12627.0,47.85,ready
30.4,80.12,13263.0,48.39,ready
29.13,85.93,11518.0,32.1,open
29.66,86.75,9493.0,32.99,closed
28.54,74.3,13660.0,54.45,ready
26.4,84.12,11431.0,49.69,open
27.08,87.7,14495.0,39.88,ready
24.84,77.68,8766.0,49.62,closed
31.69,60.5,10041.0,39.14,open
28.77,70.68,8017.0,35.25,closed
28.99,80.39,10797.0,54.85,open
25.17,69.66,12177.0,46.13,open
24.32,75.06,9776.0,54.75,closed
30.84,70.05,9750.0,30.83,closed
28.61,74.87,12964.0,33.6,ready
28.63,78.79,9186.0,45.58,closed
24.84,80.57,9320.0,44.23,closed
29.32,79.97,13010.0,42.23,ready
28.2,60.22,8757.0,44.7,closed
24.8,84.02,13735.0,42.8,ready
28.86,70.73,11121.0,46.25,open
27.86,65.27,10851.0,50.24,open
28.14,82.9,13784.0,33.0,ready
24.76,70.08,8165.0,34.42,closed
28.09,85.83,8519.0,36.64,closed
25.3,83.12,13720.0,33.67,ready
31.03,67.75,12326.0,54.77,open
27.1,82.52,13167.0,51.85,ready
28.78,80.15,9461.0,39.04,closed
30.76,79.0,10776.0,38.11,open
30.75,60.92,14281.0,44.18,open
28.41,76.63,11299.0,33.07,open
30.09,70.11,10351.0,53.05,open
25.98,78.87,8304.0,54.32,closed
31.56,61.91,8124.0,52.67,closed
27.22,71.61,13487.0,45.1,ready
25.93,71.97,11358.0,38.12,open
28.04,73.6,8043.0,51.29,closed
31.09,76.89,12960.0,52.92,ready
28.79,63.3,8576.0,49.95,closed
26.53,71.02,14831.0,42.05,ready
31.9,64.41,14189.0,54.38,open
28.93,78.87,14826.0,33.69,ready
27.7,89.98,13013.0,38.54,ready
24.32,76.48,8796.0,45.72,closed
26.34,88.59,14365.0,32.09,ready
29.46,63.42,14126.0,52.58,open
24.5,79.01,13989.0,40.18,ready
27.42,88.35,11245.0,50.21,open
30.31,76.99,14472.0,34.66,ready
25.45,62.39,14576.0,46.47,open
25.0,60.54,14312.0,35.9,open
31.58,85.44,10552.0,33.94,open
31.96,63.8,13139.0,49.46,open
30.49,82.48,13326.0,34.19,ready
29.22,80.23,8351.0,35.1,closed
24.58,78.92,12292.0,53.03,ready
24.91,83.68,9207.0,30.03,closed
25.27,87.28,14342.0,39.98,ready
26.36,76.22,12432.0,52.95,ready
26.25,81.44,12777.0,51.55,ready
25.43,79.64,14361.0,37.4,ready
29.0,80.25,9845.0,36.63,closed
30.99,68.22,14526.0,34.61,open
30.8,88.59,14379.0,40.22,ready
29.23,64.57,10165.0,38.12,open
25.39,85.53,14362.0,45.41,ready
27.88,67.62,9498.0,34.07,closed
31.1,71.62,9410.0,35.06,closed
28.52,84.8,10850.0,42.39,open
25.24,64.87,12201.0,39.49,open
30.84,86.21,12348.0,32.19,ready
26.18,63.98,10670.0,45.76,open
31.53,64.81,12414.0,47.98,open
30.58,64.65,13659.0,52.57,open
29.2,80.67,14218.0,33.58,ready
29.38,89.88,11381.0,45.2,open
25.39,64.31,10613.0,54.15,open
29.38,81.61,14820.0,46.14,ready
31.98,67.77,9494.0,34.69,closed
24.73,89.25,12207.0,35.4,ready
26.98,86.04,12525.0,37.28,ready
28.62,66.35,8944.0,30.64,closed
27.17,80.86,14219.0,30.44,ready
24.32,85.6,10455.0,51.27,open
27.3,72.36,13896.0,50.56,ready
24.84,87.27,8361.0,30.89,closed
25.02,63.9,14542.0,36.3,open
29.9,77.36,9696.0,43.83,closed
31.77,76.66,13432.0,39.54,ready
26.12,60.38,9357.0,52.65,closed
28.81,79.23,12714.0,39.3,ready
31.17,81.61,11300.0,30.24,open
24.68,68.57,14104.0,33.68,open
29.47,81.83,11939.0,51.72,open
29.9,69.48,12963.0,33.26,open
25.42,88.73,13664.0,36.71,ready
24.21,76.29,12121.0,35.82,ready
26.77,63.22,12947.0,39.8,open
26.85,86.93,9161.0,39.04,closed
28.29,79.5,12802.0,36.55,ready
31.14,79.08,9676.0,46.22,closed
25.43,89.39,10994.0,43.68,open
31.09,77.4,8257.0,40.71,closed
26.94,82.48,10060.0,47.06,open
25.99,69.89,12816.0,54.35,open
31.15,65.74,13740.0,52.55,open
24.44,73.87,8670.0,36.95,closed
28.68,79.35,10674.0,48.17,open
25.9,84.91,14452.0,31.42,ready
25.59,75.83,8362.0,32.89,closed
26.11,78.13,10856.0,48.32,open
28.73,81.61,9006.0,54.95,closed
30.51,88.85,8889.0,49.73,closed
30.42,76.1,8026.0,38.87,closed
27.03,87.38,13695.0,42.28,ready
31.2,80.75,12057.0,49.48,ready
27.99,67.6,13546.0,41.79,open
28.75,60.8,14240.0,50.23,open
28.76,64.22,12402.0,48.41,open
30.76,63.87,11284.0,48.64,open
24.59,67.1,11095.0,38.56,open
24.63,73.57,12950.0,30.43,ready
28.75,68.4,9835.0,37.31,closed
26.02,63.82,11420.0,33.97,open
28.27,72.9,13254.0,36.67,ready
31.43,81.06,14782.0,35.56,ready
28.57,76.57,12171.0,49.56,ready
28.81,86.25,10735.0,40.22,open
29.13,67.05,9417.0,54.92,closed
25.77,84.11,11589.0,31.12,open
30.9,62.25,12119.0,46.75,open
25.07,68.43,11904.0,49.41,open
26.84,66.43,8506.0,34.02,closed
24.78,64.92,11957.0,34.43,open
26.98,66.36,10547.0,35.46,open
24.64,80.82,10388.0,49.81,open
24.19,65.97,8665.0,37.37,closed
29.04,69.33,9432.0,53.51,closed
26.43,76.43,8297.0,42.25,closed
30.97,78.92,9202.0,50.68,closed
31.43,83.49,12737.0,40.93,ready
29.01,80.79,11413.0,45.55,open
26.46,89.85,8118.0,42.96,closed
28.06,65.5,10278.0,37.54,open
28.71,72.09,8029.0,34.17,closed
28.98,79.39,10480.0,34.9,open
25.56,72.95,14041.0,40.8,ready
31.48,80.9,11103.0,37.91,open
27.04,70.37,10357.0,44.68,open
30.28,80.19,9677.0,39.13,closed
26.78,67.11,12633.0,51.62,open
27.48,63.81,13802.0,43.57,open
24.74,61.19,14096.0,53.12,open
30.8,64.37,10314.0,37.11,open
31.87,70.0,8623.0,33.19,closed
28.34,70.02,12238.0,39.18,ready
28.74,80.21,12128.0,51.09,ready
29.56,73.13,12868.0,35.81,ready
24.64,64.17,12575.0,43.79,open
29.44,71.0,12676.0,47.92,ready
31.98,67.25,14180.0,51.03,open
25.98,65.6,8560.0,46.96,closed
29.75,68.85,13877.0,32.48,open
27.81,67.18,14904.0,43.53,open
27.98,60.55,10022.0,49.51,open
25.88,60.36,9180.0,42.89,closed
27.08,75.35,14950.0,52.0,ready
24.55,73.69,10900.0,38.25,open
27.45,76.83,11427.0,42.52,open
25.4,83.7,9564.0,38.37,closed
28.27,87.45,9123.0,38.77,closed
26.37,87.07,13291.0,33.78,ready
31.63,72.62,9498.0,43.59,closed
31.15,73.13,10374.0,32.93,open
28.9,74.89,9769.0,46.4,closed
29.09,69.65,9188.0,48.59,closed
29.9,70.85,13963.0,36.45,ready
27.93,79.9,10638.0,32.19,open
29.06,63.49,13569.0,41.24,open
25.45,70.15,9693.0,48.91,closed
28.39,68.48,11870.0,49.57,open
29.46,83.45,11253.0,42.19,open
29.09,82.91,12348.0,34.22,ready
27.5,81.81,10896.0,52.74,open
30.35,85.38,10863.0,44.15,open
25.48,72.79,8362.0,53.76,closed
25.11,69.35,13437.0,46.42,open
27.49,64.72,13423.0,52.25,open
28.38,68.61,11565.0,42.65,open
28.03,73.47,13238.0,47.02,ready
24.6,87.62,11525.0,33.52,open
29.87,72.99,14696.0,30.92,ready
24.29,64.09,11276.0,40.17,open
25.02,83.23,11388.0,38.15,open
27.14,80.9,13952.0,42.87,ready
24.6,74.42,13746.0,40.34,ready
24.41,77.2,9362.0,36.74,closed
31.02,88.06,10632.0,42.85,open
25.45,63.88,13529.0,36.62,open
29.56,70.5,9049.0,39.54,closed
28.69,79.89,10373.0,41.46,open
28.86,70.16,8280.0,47.25,closed
24.88,60.99,12156.0,39.34,open
24.28,65.76,9574.0,33.96,closed
30.0,88.79,10625.0,46.55,open
27.41,70.34,11327.0,45.96,open
26.86,78.44,9949.0,36.32,closed
29.66,79.91,9741.0,45.43,closed
27.04,89.48,11523.0,31.19,open
30.71,66.58,11871.0,33.12,open
28.07,69.97,10364.0,44.01,open
30.15,74.76,14029.0,33.04,ready
27.86,88.45,8570.0,47.97,closed
31.56,71.59,11251.0,34.65,open
29.13,67.6,9858.0,30.3,closed
30.34,77.77,9306.0,53.34,closed
26.29,62.9,12334.0,47.91,open
27.33,84.09,13935.0,30.52,ready
30.34,71.79,12716.0,50.72,ready
24.19,79.84,10329.0,44.44,open
28.95,78.78,14338.0,48.65,ready
31.64,78.76,13796.0,30.45,ready
29.2,87.1,12193.0,42.03,ready
24.83,70.65,12620.0,37.24,ready
24.42,75.42,12779.0,37.64,ready
28.78,85.0,14654.0,31.59,ready
24.94,70.12,14279.0,32.42,ready
27.87,86.01,9384.0,31.39,closed
30.76,82.22,10981.0,35.01,open
31.07,89.86,14927.0,40.02,ready
25.2,71.26,8041.0,46.19,closed
29.67,60.88,9306.0,41.7,closed
30.54,67.06,11331.0,50.5,open
29.94,65.58,14515.0,49.19,open
24.65,74.61,9120.0,33.43,closed
25.23,76.75,11169.0,52.39,open
24.55,65.11,12244.0,40.04,open
31.29,61.25,10962.0,37.91,open
31.48,84.57,12574.0,33.71,ready
27.96,88.0,14300.0,46.02,ready
26.22,87.83,12317.0,52.05,ready
24.1,69.13,13157.0,34.83,open
30.38,84.86,8618.0,46.74,closed
28.53,77.56,9255.0,32.71,closed
25.7,89.93,14708.0,35.49,ready
29.37,70.67,12137.0,44.3,ready
29.07,85.79,14026.0,46.69,ready
27.37,67.15,8234.0,31.33,closed
30.33,63.81,12869.0,52.39,open
31.27,74.53,9477.0,52.61,closed
31.15,77.36,13572.0,33.8,ready
28.94,73.22,10260.0,31.14,open
29.75,60.28,14237.0,40.34,open
27.48,65.09,9330.0,52.91,closed
26.17,86.82,10166.0,31.69,open
26.7,74.56,10623.0,51.2,open
26.54,69.69,13192.0,38.2,open
24.22,71.35,14265.0,46.4,ready
28.2,78.21,12957.0,50.34,ready
29.72,85.86,8221.0,51.07,closed
25.18,81.53,11762.0,36.76,open
29.08,61.31,14111.0,35.78,open
26.6,87.17,12438.0,35.39,ready
29.78,84.15,8886.0,30.14,closed
27.18,87.09,12888.0,48.54,ready
27.52,87.68,8698.0,40.37,closed
28.43,78.43,8095.0,46.14,closed
25.84,75.89,11885.0,31.47,open
25.34,86.47,11168.0,49.89,open
24.24,76.86,11554.0,46.53,open
27.52,73.24,8799.0,44.78,closed
29.3,71.73,14367.0,41.35,ready
31.54,72.57,14670.0,37.03,ready
29.19,68.89,14642.0,30.81,open
26.63,88.09,9912.0,34.82,closed
29.28,82.07,11668.0,53.13,open
26.38,75.42,9475.0,45.17,closed
26.48,83.13,12411.0,53.3,ready
29.71,78.09,12311.0,31.69,ready
25.92,61.65,10252.0,37.22,open
27.51,61.17,9573.0,38.49,closed
24.58,66.33,10010.0,49.94,open
26.95,68.06,11503.0,36.59,open
27.44,76.5,14667.0,54.91,ready
29.54,73.62,11310.0,39.5,open
26.89,62.17,14093.0,53.44,open
24.2,67.57,14272.0,54.38,open
25.12,86.14,8800.0,30.61,closed
27.02,80.36,10156.0,53.46,open
25.87,78.46,14012.0,45.57,ready
31.73,73.11,13472.0,33.92,ready
30.89,66.65,11079.0,54.59,open
27.68,84.71,10862.0,52.9,open
30.47,75.65,12028.0,53.34,ready
30.9,68.23,13953.0,42.68,open
24.52,67.24,11143.0,53.32,open
30.38,63.18,8935.0,40.1,closed
27.54,61.34,9466.0,52.05,closed
30.06,73.87,9055.0,46.98,closed
24.23,82.08,14008.0,52.42,ready
31.69,60.69,9765.0,32.04,closed
27.83,62.4,14191.0,47.85,open
29.51,76.41,10691.0,30.11,open
28.44,85.92,10965.0,44.58,open
25.37,71.68,11032.0,40.16,open
31.51,80.69,8674.0,41.29,closed
25.42,63.0,13035.0,54.32,open
25.94,78.1,10409.0,41.69,open
30.21,60.01,14089.0,39.53,open
26.2,61.18,10938.0,42.47,open
27.55,60.96,12711.0,35.91,open
25.87,76.44,14527.0,47.92,ready
29.81,64.48,11923.0,36.35,open
31.66,66.93,13460.0,39.08,open
31.11,79.97,12521.0,36.97,ready
31.33,81.75,12690.0,38.75,ready
24.65,70.92,14217.0,53.17,ready
26.66,64.51,12619.0,38.86,open
25.75,64.76,11437.0,51.88,open
25.53,83.71,14138.0,45.34,ready
30.56,69.88,8834.0,33.24,closed
31.1,88.78,9618.0,35.6,closed
24.5,62.69,10873.0,50.36,open
24.51,67.19,11479.0,32.98,open
28.25,77.2,8897.0,53.54,closed
26.12,70.91,9978.0,46.11,closed
30.99,89.05,8934.0,54.58,closed
24.0,76.13,9856.0,39.74,closed
31.28,63.93,14582.0,42.16,open
27.54,86.5,10200.0,36.28,open
31.32,83.42,12330.0,53.05,ready
29.44,72.47,12834.0,53.23,ready
26.8,66.03,12437.0,46.36,open
24.77,81.2,9061.0,54.54,closed
30.4,82.57,9052.0,34.99,closed
27.44,82.39,11790.0,39.82,open
30.43,65.67,14799.0,39.81,open
24.43,68.62,9529.0,37.43,closed
25.29,85.03,9717.0,30.8,closed
27.6,64.99,12139.0,33.2,open
29.86,74.2,13929.0,43.14,ready
27.95,87.04,12026.0,45.85,ready
26.11,73.6,10606.0,32.63,open
29.39,60.91,13591.0,40.26,open
24.65,88.01,11954.0,54.87,open
30.28,60.08,11806.0,39.79,open
26.46,78.28,12314.0,35.47,ready
27.4,61.48,9826.0,52.22,closed
29.94,78.71,10837.0,36.99,open
31.25,82.7,14864.0,38.55,ready
24.62,86.67,12131.0,30.66,ready
27.53,72.81,9349.0,47.96,closed
31.89,73.08,13819.0,43.03,ready
27.34,76.78,14955.0,36.67,ready
28.88,69.28,13666.0,43.01,open
26.72,66.83,10322.0,45.15,open
31.06,77.16,13320.0,36.89,ready
28.81,61.75,8159.0,33.47,closed
25.05,77.34,12401.0,35.34,ready
25.41,82.26,10202.0,54.5,open
29.89,62.36,8609.0,52.4,closed
28.59,77.34,10087.0,52.54,open
31.38,64.91,8679.0,33.06,closed
28.6,75.31,13137.0,48.8,ready
27.21,81.54,8601.0,44.09,closed
26.83,70.01,9166.0,50.24,closed
31.26,76.95,8456.0,50.73,closed
29.85,69.56,14695.0,36.65,open
29.44,69.51,9280.0,47.65,closed
31.66,73.3,10493.0,44.35,open
25.63,80.68,8959.0,54.06,closed
28.42,68.22,8525.0,30.46,closed
29.42,89.41,10045.0,42.45,open
28.33,89.96,13835.0,49.7,ready
26.49,80.69,13852.0,49.91,ready
27.84,77.73,8971.0,49.75,closed
28.98,72.8,8854.0,50.28,closed
28.68,75.03,11206.0,53.83,open
29.46,81.92,13355.0,43.98,ready
30.09,82.71,9310.0,43.56,closed
24.65,62.59,14822.0,45.2,open
24.1,67.72,14759.0,53.27,open
29.34,75.61,13904.0,32.72,ready
30.09,78.7,13675.0,34.35,ready
28.29,74.06,10742.0,42.33,open
