temperature_c,humidity_pct,light_lux,soil_moisture_pct,time_of_day,flower_gender,flower_stage,flower_age_hours,wind_speed_mps,readiness
32.5,62.72,8964.0,58.45,early_morning,male,fully_open,7,1.19,0
33.65,86.99,19720.7,31.78,afternoon,female,wilting,1,0.82,0
26.13,52.25,49861.3,55.68,noon,male,fully_open,4,3.59,0
23.43,69.43,41771.0,60.48,afternoon,male,fully_open,7,0.59,0
24.96,86.51,11429.5,39.56,morning,male,partially_open,7,2.75,0
27.55,74.41,46592.9,43.67,noon,male,wilting,6,1.2,0
32.63,71.86,31172.7,62.02,afternoon,female,fully_open,3,2.27,0
33.19,59.99,47798.8,53.42,afternoon,male,wilting,2,2.46,0
22.09,63.73,36234.8,72.9,morning,female,closed,7,1.67,0
28.64,84.08,40046.2,47.12,morning,male,partially_open,7,3.9,0
27.43,72.37,54694.6,43.33,afternoon,female,closed,9,0.53,0
24.89,70.59,18919.8,79.24,afternoon,female,wilting,4,1.57,0
23.56,53.98,37325.4,75.56,early_morning,female,partially_open,2,1.72,0
26.39,50.64,29635.1,31.45,afternoon,female,closed,4,2.52,0
34.26,88.55,9854.2,68.54,afternoon,male,partially_open,3,1.63,0
26.2,65.08,8680.1,35.52,early_morning,male,closed,7,0.39,0
28.74,74.13,13603.7,31.37,early_morning,female,fully_open,1,3.79,1
31.14,53.19,38507.3,43.68,afternoon,male,partially_open,7,1.66,0
26.73,77.32,34656.7,43.47,early_morning,male,wilting,9,1.37,0
34.63,87.3,34011.2,70.97,noon,male,partially_open,5,1.79,0
34.51,73.03,9497.3,65.53,morning,male,wilting,3,0.87,0
25.27,55.04,30057.2,79.08,noon,male,closed,2,0.4,0
28.46,73.27,51457.3,65.58,morning,male,closed,9,0.59,0
25.91,80.65,26686.8,50.91,morning,male,wilting,4,0.67,0
25.7,66.26,37371.4,64.95,afternoon,female,closed,5,0.79,0
22.48,85.19,44651.5,79.97,morning,male,partially_open,0,1.68,0
29.92,75.95,44844.5,65.51,noon,female,closed,0,2.5,0
28.53,85.97,32406.2,68.08,afternoon,male,wilting,9,2.52,0
22.67,74.94,48323.7,76.92,early_morning,female,wilting,2,0.0,0
25.62,55.25,26394.8,35.68,noon,male,fully_open,1,3.68,0
33.81,62.39,49768.6,65.24,afternoon,male,wilting,0,3.29,0
25.11,58.07,19290.7,72.54,morning,male,closed,7,3.86,0
23.88,86.35,21170.2,77.72,noon,male,wilting,0,1.44,0
28.36,80.42,10496.7,40.55,morning,female,closed,9,2.66,0
34.81,77.06,45392.3,55.2,afternoon,female,closed,7,0.67,0
25.15,62.04,27601.6,64.03,afternoon,male,fully_open,4,3.27,0
30.74,57.36,18768.5,42.37,early_morning,male,closed,3,0.65,0
31.9,80.26,18894.1,60.02,early_morning,male,wilting,7,1.3,0
25.09,68.97,50365.8,42.88,noon,male,wilting,7,1.96,0
31.47,59.03,47194.1,46.67,early_morning,male,wilting,7,2.38,0
26.78,74.66,34016.0,52.08,morning,female,closed,2,2.24,0
30.22,51.61,36957.2,56.46,morning,male,wilting,7,0.41,0
30.24,63.05,30293.3,52.47,early_morning,female,partially_open,0,1.69,0
28.97,68.74,26408.3,54.66,early_morning,female,partially_open,3,3.69,0
23.17,55.92,51027.4,44.93,early_morning,female,wilting,4,3.49,0
32.86,89.39,13903.8,37.95,noon,male,closed,5,2.36,0
26.17,58.36,27667.0,32.37,noon,female,wilting,4,2.29,0
24.42,55.21,24194.4,39.8,morning,female,partially_open,4,0.45,0
22.53,58.14,31413.1,59.1,noon,male,closed,4,0.8,0
29.68,80.76,29508.7,69.31,noon,male,wilting,8,1.01,0
30.81,67.02,32387.8,38.46,afternoon,female,closed,9,1.95,0
22.22,72.62,14576.2,35.43,morning,female,wilting,9,2.93,0
28.66,50.84,32117.7,67.46,morning,male,fully_open,2,1.84,0
24.94,51.38,19393.7,45.26,early_morning,male,closed,1,0.5,0
30.39,67.83,16663.6,77.57,afternoon,male,partially_open,9,1.76,0
24.27,82.67,11047.2,65.72,early_morning,male,partially_open,1,0.65,0
30.98,85.41,43844.7,46.34,noon,male,partially_open,7,3.0,0
27.03,53.47,28089.8,44.48,morning,male,partially_open,4,0.67,0
34.18,71.53,37452.3,56.18,noon,female,wilting,4,1.93,0
23.79,86.53,42196.9,33.96,noon,female,wilting,5,2.77,0
26.43,65.52,39927.9,35.88,afternoon,female,closed,8,0.91,0
23.48,83.18,30113.5,38.79,afternoon,male,fully_open,6,0.3,0
34.02,55.35,26231.2,68.74,morning,female,fully_open,4,2.25,0
33.41,87.42,25670.1,55.69,morning,male,closed,4,0.22,0
25.35,80.06,38082.3,30.53,afternoon,male,partially_open,9,2.35,0
30.58,87.65,31255.3,63.68,afternoon,female,fully_open,8,3.01,0
32.62,77.06,47909.2,51.18,afternoon,male,fully_open,8,1.32,0
29.22,64.54,49111.0,55.54,afternoon,male,closed,1,1.95,0
28.89,87.53,16016.3,40.71,morning,male,partially_open,6,3.72,0
25.14,61.02,14403.0,57.59,morning,male,wilting,9,1.88,0
23.21,63.29,37628.8,78.96,noon,female,wilting,0,3.99,0
33.66,78.03,22157.6,33.67,noon,female,fully_open,3,0.63,0
33.71,80.61,8872.8,44.2,noon,female,wilting,1,2.84,0
30.23,87.18,49766.2,42.15,morning,female,closed,9,2.61,0
26.41,58.19,18664.3,42.43,early_morning,female,fully_open,8,3.49,1
26.54,81.92,51676.2,48.94,noon,female,fully_open,5,0.37,0
31.44,79.54,41719.4,70.91,early_morning,male,partially_open,3,1.12,0
33.66,52.55,43844.7,75.64,early_morning,female,wilting,2,0.53,0
33.53,65.49,17468.7,40.11,early_morning,male,partially_open,3,3.73,0
32.14,61.31,19007.1,57.15,afternoon,female,fully_open,1,1.71,0
30.35,62.18,32499.6,61.84,morning,male,wilting,4,3.64,0
23.09,89.32,16088.7,56.09,morning,female,partially_open,8,1.18,0
24.1,75.71,22355.3,51.7,noon,female,wilting,5,0.51,0
33.68,78.71,23108.7,39.6,noon,female,fully_open,1,1.19,0
29.88,89.06,15502.6,54.41,morning,female,fully_open,5,2.39,1
22.12,65.09,17643.6,50.06,afternoon,male,fully_open,8,3.38,0
23.32,82.07,45061.9,69.78,morning,male,closed,3,1.54,0
30.63,67.38,15858.2,68.18,early_morning,male,partially_open,0,3.66,0
22.07,84.78,9337.5,36.7,morning,male,partially_open,1,0.98,0
24.09,57.23,37579.7,34.43,afternoon,male,fully_open,4,2.77,0
29.13,87.91,53871.2,75.41,morning,male,partially_open,9,2.94,0
30.99,58.75,23567.0,56.78,morning,male,fully_open,6,1.1,0
30.48,63.05,13576.8,72.89,morning,female,partially_open,7,0.11,0
24.92,80.25,34808.2,32.91,early_morning,female,wilting,2,1.46,0
31.26,65.75,50598.6,56.33,noon,male,partially_open,8,0.18,0
25.08,74.33,44850.9,56.97,afternoon,male,fully_open,1,3.6,0
26.23,67.78,37258.2,73.04,early_morning,male,partially_open,3,3.81,0
31.7,79.69,22807.7,34.88,morning,male,wilting,3,2.94,0
30.45,59.13,33468.4,42.02,morning,male,wilting,5,2.91,0
33.04,52.34,12288.5,50.33,noon,male,wilting,9,0.96,0
30.55,62.0,39910.4,73.29,noon,male,fully_open,5,0.3,0
29.39,68.97,42079.5,76.94,noon,male,closed,2,3.21,0
23.22,56.72,53356.5,79.64,early_morning,male,fully_open,8,2.24,0
26.78,64.19,20238.7,77.96,afternoon,male,wilting,4,2.73,0
25.45,66.0,8867.5,30.3,noon,female,partially_open,1,3.12,0
25.17,52.3,33643.6,32.39,morning,female,wilting,5,1.64,0
34.65,73.33,41219.2,37.38,afternoon,male,closed,2,0.58,0
27.11,85.37,45149.2,47.44,morning,male,closed,7,3.18,0
33.6,56.07,17105.7,71.5,morning,male,wilting,2,1.82,0
30.2,73.91,20302.4,74.63,afternoon,male,fully_open,4,3.31,0
32.33,76.59,32091.8,39.34,early_morning,male,closed,3,1.75,0
28.53,66.77,23538.2,60.98,afternoon,male,wilting,3,0.87,0
29.5,78.04,48444.0,75.87,noon,male,fully_open,1,0.68,0
28.4,66.43,30266.7,53.19,afternoon,male,partially_open,7,2.98,0
24.54,70.19,45580.2,35.18,noon,female,fully_open,2,2.3,0
31.39,50.29,35289.1,52.89,noon,male,closed,3,1.62,0
25.65,77.67,44335.2,48.79,afternoon,male,fully_open,5,1.97,0
22.32,76.45,23635.6,58.88,afternoon,male,fully_open,8,2.2,0
30.39,51.54,47076.6,51.93,noon,male,partially_open,3,0.96,0
24.3,64.73,20904.9,30.87,morning,female,wilting,2,1.51,0
34.23,89.16,33666.6,79.7,afternoon,female,fully_open,4,1.17,0
34.4,66.83,18058.3,57.18,early_morning,male,partially_open,8,1.55,0
33.89,70.08,30349.7,53.68,noon,female,closed,0,2.0,0
26.81,86.4,22954.2,77.73,morning,female,wilting,4,0.69,0
22.2,78.69,20535.1,37.79,afternoon,male,closed,3,1.57,0
34.07,73.28,53448.3,39.46,afternoon,male,wilting,4,1.54,0
27.57,81.91,15523.5,70.4,morning,female,fully_open,6,1.14,1
34.57,84.57,45004.3,43.04,early_morning,male,fully_open,6,3.99,0
34.53,68.28,54255.8,69.96,noon,male,wilting,6,0.29,0
33.09,69.0,8935.4,43.58,afternoon,male,closed,0,2.57,0
25.83,65.44,40854.3,31.66,early_morning,female,closed,8,0.7,0
27.01,88.67,19886.9,55.85,noon,female,closed,6,3.36,0
33.06,77.89,9902.9,39.83,early_morning,female,fully_open,3,3.66,0
26.12,53.33,26935.8,67.89,noon,female,wilting,3,1.61,0
24.2,84.52,51955.2,62.06,noon,female,wilting,1,3.29,0
29.24,69.22,8553.0,76.18,early_morning,female,closed,5,1.0,0
34.17,52.75,35630.6,69.15,noon,female,fully_open,9,0.56,0
31.05,71.99,31565.6,39.04,afternoon,female,wilting,2,1.26,0
29.41,66.69,49049.1,70.01,afternoon,male,wilting,0,1.37,0
23.26,85.11,11948.1,62.09,early_morning,female,closed,4,1.59,0
30.0,58.16,40031.7,63.45,early_morning,female,closed,5,1.49,0
34.87,83.06,39965.2,71.61,noon,female,wilting,4,1.64,0
23.82,72.31,39446.8,58.69,noon,female,fully_open,4,2.84,0
28.74,52.18,52289.7,53.3,early_morning,female,partially_open,9,0.98,0
33.41,88.87,46685.1,61.83,morning,female,wilting,7,0.07,0
31.63,70.5,9972.7,44.9,early_morning,male,wilting,9,1.96,0
31.06,61.64,30140.9,39.13,morning,male,fully_open,0,1.79,0
31.13,68.78,26703.8,60.83,morning,male,wilting,7,0.24,0
26.67,84.31,22576.9,41.69,early_morning,male,partially_open,6,0.54,0
25.82,62.2,29212.8,34.0,early_morning,male,fully_open,0,2.04,0
32.52,57.71,26057.1,30.03,early_morning,male,partially_open,8,0.94,0
32.53,55.16,28319.7,60.42,morning,male,partially_open,3,3.51,0
33.27,61.91,54025.3,48.11,afternoon,female,wilting,6,0.69,0
33.87,81.2,12165.7,67.62,afternoon,male,partially_open,2,0.08,0
28.65,68.87,51344.9,48.76,early_morning,female,wilting,7,1.79,0
28.52,59.1,30571.1,54.3,early_morning,female,wilting,3,3.94,0
32.38,56.65,37315.9,50.35,noon,male,fully_open,1,2.54,0
30.45,63.31,47018.6,62.53,noon,male,fully_open,1,1.42,0
31.13,87.6,24941.8,47.81,noon,female,fully_open,7,0.07,0
32.35,63.72,28229.8,78.19,early_morning,female,wilting,7,1.94,0
33.57,89.52,27247.4,76.81,afternoon,male,partially_open,0,0.83,0
26.39,69.41,25612.4,72.4,afternoon,male,partially_open,5,2.59,0
26.88,57.17,51499.9,76.02,early_morning,male,fully_open,8,2.33,0
23.22,85.65,46959.7,52.46,early_morning,male,fully_open,8,1.06,0
29.52,68.41,13123.0,56.82,morning,male,wilting,1,0.28,0
22.47,78.39,13081.8,67.1,morning,male,closed,7,3.02,0
28.05,89.35,28109.9,64.81,afternoon,female,closed,7,2.34,0
29.05,52.01,12636.9,74.53,noon,female,wilting,3,3.37,0
25.73,53.87,37097.4,65.82,afternoon,female,closed,3,1.04,0
29.68,78.82,14753.5,79.89,morning,female,closed,4,2.61,0
22.4,61.27,32551.5,47.43,afternoon,female,closed,9,0.47,0
22.49,57.37,8339.3,71.65,morning,female,fully_open,6,1.17,0
32.69,51.57,22880.0,64.88,morning,male,partially_open,0,2.63,0
26.68,50.87,39828.0,64.57,noon,male,partially_open,8,3.3,0
23.65,80.98,30749.8,46.29,noon,female,fully_open,2,1.28,0
28.79,55.38,53978.7,69.28,morning,female,fully_open,3,3.2,1
32.01,68.71,49082.9,75.02,early_morning,male,fully_open,6,2.71,0
24.81,74.24,24876.3,40.93,noon,male,closed,4,1.39,0
30.1,67.13,10137.9,61.27,morning,female,wilting,4,3.51,0
23.11,51.08,47744.4,49.61,early_morning,male,wilting,0,2.04,0
22.67,81.34,50828.0,79.48,early_morning,male,closed,1,2.59,0
28.91,50.42,46569.5,53.94,afternoon,female,closed,4,1.98,0
29.03,80.48,14013.6,41.42,afternoon,male,fully_open,1,1.81,0
30.29,85.73,54902.0,49.09,noon,female,fully_open,0,3.39,0
31.44,67.31,20153.5,62.69,early_morning,female,partially_open,9,1.18,0
34.69,71.42,42037.6,33.8,noon,male,fully_open,2,0.15,0
28.71,69.08,50677.6,60.18,morning,male,closed,0,3.52,0
26.2,65.57,19077.3,76.56,noon,male,partially_open,9,3.3,0
32.34,85.5,50688.2,72.52,early_morning,male,fully_open,7,1.47,0
25.52,85.76,22545.6,33.38,afternoon,female,partially_open,7,0.74,0
27.71,63.43,53891.4,79.67,noon,male,partially_open,7,2.7,0
23.02,74.6,21219.2,64.94,afternoon,male,fully_open,6,0.32,0
22.33,87.08,52811.5,38.11,noon,male,wilting,6,1.7,0
34.51,88.48,10516.6,30.62,morning,male,closed,1,0.34,0
32.87,70.36,41335.8,38.56,early_morning,male,closed,8,2.39,0
31.05,68.11,33009.2,71.91,noon,female,partially_open,6,0.11,0
27.32,61.15,30460.2,31.08,morning,male,wilting,4,2.52,0
24.25,88.35,18504.2,41.66,morning,male,wilting,3,2.69,0
24.03,55.71,41163.0,67.87,morning,male,fully_open,7,1.95,0
25.25,73.19,16968.0,59.31,afternoon,female,fully_open,4,0.7,0
29.14,61.3,33983.6,69.14,afternoon,male,closed,5,0.41,0
31.29,61.16,19902.5,67.31,morning,female,fully_open,3,1.25,0
30.58,66.2,52914.2,32.53,morning,male,fully_open,1,1.86,0
25.64,89.95,9345.7,74.63,noon,female,partially_open,6,2.57,0
34.41,52.2,17387.2,41.35,noon,male,wilting,1,0.01,0
31.59,73.14,19388.6,57.67,early_morning,female,wilting,6,2.84,0
29.21,53.3,27461.2,62.21,noon,female,fully_open,6,2.85,0
29.95,56.18,18938.3,38.43,early_morning,female,fully_open,0,1.78,1
27.45,67.58,31093.4,78.81,early_morning,male,fully_open,9,1.37,0
25.22,70.42,49005.9,54.41,early_morning,female,closed,9,3.37,0
26.63,60.35,41467.0,32.88,afternoon,female,closed,2,3.14,0
31.85,62.66,35258.2,76.86,noon,male,partially_open,2,3.93,0
22.19,53.48,12183.1,59.31,morning,male,closed,5,1.49,0
23.51,62.13,40617.6,64.96,early_morning,female,wilting,2,3.63,0
22.6,88.66,15821.5,56.26,morning,male,closed,8,0.35,0
22.53,87.79,44959.3,71.74,early_morning,female,wilting,4,1.65,0
33.12,63.4,19752.7,31.66,noon,male,closed,5,1.86,0
31.15,72.83,27601.3,43.42,early_morning,male,closed,5,1.76,0
28.16,86.38,24472.1,53.48,noon,female,partially_open,7,2.5,0
23.27,50.25,48364.3,33.83,morning,male,fully_open,9,0.68,0
28.39,82.43,13947.6,65.3,noon,female,fully_open,2,3.47,0
28.16,87.93,34585.3,49.68,morning,female,fully_open,8,2.21,1
24.25,53.65,14676.9,43.63,noon,female,partially_open,6,3.62,0
27.64,56.46,41125.4,30.17,early_morning,female,wilting,5,0.01,0
27.18,88.43,50538.7,65.99,early_morning,female,closed,0,2.52,0
30.01,71.5,28426.6,71.69,noon,male,partially_open,3,1.65,0
30.26,50.57,30940.3,49.75,morning,female,wilting,4,2.02,0
22.59,60.31,51588.9,58.21,morning,male,partially_open,1,2.98,0
26.87,68.0,32486.6,41.38,morning,male,partially_open,0,0.91,0
30.14,77.72,30917.1,61.11,noon,male,wilting,1,0.82,0
28.54,79.33,35181.5,30.61,noon,female,fully_open,7,2.81,0
33.13,89.82,40393.8,54.43,noon,male,closed,9,2.09,0
30.56,61.5,13023.5,62.21,noon,male,fully_open,5,0.93,0
24.12,71.53,46592.2,75.91,morning,female,partially_open,9,1.94,0
22.92,71.33,28468.7,49.07,morning,male,wilting,1,1.84,0
30.35,66.23,11400.4,68.26,afternoon,female,partially_open,8,2.77,0
22.34,56.77,44950.6,59.88,noon,female,fully_open,7,0.01,0
29.62,89.1,25716.6,76.35,afternoon,male,fully_open,3,2.35,0
34.22,84.13,12717.3,49.92,noon,male,fully_open,9,2.42,0
29.48,69.93,37787.6,45.95,afternoon,female,closed,6,2.98,0
27.05,74.13,49366.2,74.36,morning,male,fully_open,2,3.56,0
30.36,59.09,49724.4,32.46,morning,male,closed,5,1.76,0
27.96,71.75,53010.2,36.82,afternoon,male,closed,2,1.37,0
29.09,77.8,48782.2,34.12,early_morning,male,fully_open,9,0.41,0
34.24,70.61,8100.6,72.16,noon,male,wilting,2,1.35,0
27.02,89.61,25871.3,30.53,afternoon,male,partially_open,8,0.27,0
34.5,74.45,46471.5,73.08,afternoon,female,partially_open,5,3.21,0
33.77,64.84,25213.9,52.56,early_morning,male,closed,7,3.23,0
24.55,80.89,36272.8,30.2,morning,female,closed,3,1.67,0
22.9,56.82,36496.9,50.08,afternoon,male,closed,3,1.04,0
23.31,65.38,25156.2,39.34,morning,male,partially_open,7,0.47,0
22.24,63.88,50510.3,61.22,noon,female,closed,6,3.4,0
23.23,67.27,31651.7,63.97,early_morning,female,wilting,4,3.51,0
30.88,81.27,29844.9,54.38,morning,female,wilting,1,1.07,0
22.93,69.37,54883.1,32.03,afternoon,female,closed,5,2.49,0
26.15,81.76,31194.5,62.81,early_morning,female,partially_open,0,1.03,0
32.98,73.06,16384.7,72.1,early_morning,male,fully_open,6,0.9,0
22.3,63.68,32114.3,66.02,early_morning,female,partially_open,8,0.08,0
32.59,82.4,46258.8,71.5,early_morning,female,fully_open,4,2.31,0
25.66,59.53,44512.4,40.03,early_morning,female,fully_open,4,0.6,1
23.54,58.98,45063.3,74.44,noon,female,closed,6,0.05,0
31.06,70.18,41277.1,46.11,noon,female,wilting,4,0.42,0
30.18,60.43,19948.2,30.67,early_morning,male,closed,9,1.26,0
33.41,50.36,48518.0,72.17,afternoon,female,fully_open,3,2.68,0
31.56,75.93,49991.8,77.09,afternoon,female,closed,0,0.81,0
32.45,70.44,17125.2,62.78,noon,female,fully_open,5,3.55,0
25.67,67.82,14131.4,41.57,morning,female,closed,8,1.15,0
24.31,88.68,53853.4,42.59,early_morning,male,wilting,3,1.32,0
31.76,72.85,48811.2,53.33,afternoon,female,wilting,9,0.87,0
32.49,84.54,49982.1,74.89,noon,female,partially_open,3,1.02,0
34.88,55.58,49659.7,37.48,noon,female,fully_open,4,0.3,0
27.36,72.77,33459.3,71.3,morning,male,fully_open,5,1.18,0
26.84,84.72,38380.9,44.57,morning,female,closed,2,3.44,0
32.09,73.32,33632.1,70.43,afternoon,male,partially_open,8,2.75,0
